compound,class,top_dock,top_pose_salt_bridge,pharmacophore_dock,anchor,anchor_dist_A,arom_cage,QED,logP,MW,RotB,Veber,alerts
D10 (LEAD),designed,-9.4,True,-9.4,K268,2.96,6/7,0.517,3.24,450.5,9,True,0
D06,designed,-9.1,True,-9.1,K268,2.91,5/7,0.514,3.49,452.6,9,True,0
D05,designed,-8.9,False,-8.9,R168,3.23,5/7,0.495,2.73,468.6,9,True,0
AMG 986 (ref),reference,-8.8,True,-8.8,R168,3.06,6/7,0.348,3.69,523.6,9,True,0
D13,designed,-8.5,False,-8.4,K268,3.03,6/7,0.53,3.1,438.5,9,True,0
D12,designed,-8.4,False,-8.3,K268,2.94,6/7,0.52,3.74,439.5,9,True,0
CMF-019 (ref),reference,-8.3,True,-8.3,R168,3.14,5/7,0.39,5.67,455.6,11,False,0
