id,pname,QED,logP,MW,RotB,Fsp3,Veber,alerts,top_dock,top_sb_ok,top_cage,sb_dock,sb_anchor,sb_cage,novel,QED_n,dock_n,pose_bonus,integrated
D10,D10_aza7_pyz_cPent_cPr,0.517,3.24,450.5,9,0.54,True,0,-9.42256165,True,6,-9.42256165,2.96,6,True,0.6285714285714286,1.0,0.9285714285714286,0.8335714285714286
D06,D06_aza7_pyz_cPent,0.514,3.49,452.6,9,0.54,True,0,-9.07276917,True,5,-9.07276917,2.91,5,True,0.5428571428571428,0.65021786305779,0.8571428571428572,0.659004823498798
D13,D13_aza7_pyz_cbut,0.53,3.1,438.5,9,0.52,True,0,-8.4823761,False,6,-8.40812016,3.03,6,True,1.0,0.059842250464653614,0.42857142857142855,0.5280876448054859
D12,D12_aza7_oxa_cPent,0.52,3.74,439.5,9,0.52,True,0,-8.42253208,False,4,-8.25210285,2.94,6,True,0.7142857142857143,0.0,0.2857142857142857,0.3571428571428572
D05,D05_aza7_pyz_THP,0.495,2.73,468.6,9,0.54,True,0,-8.92798615,False,6,-8.85660553,3.23,5,True,0.0,0.5054391241650988,0.42857142857142855,0.2840465506006417
